country,population_2014,population_2019,item,element,unit,food_supply_kcal_capita_2014,food_supply_kcal_capita_2019,food_supply_kcal_2014,food_supply_kcal_2019
Albania,2896.0,2881.0,Coffee and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,3.0,3.0,3171120000.0,3154695000.0
Albania,2896.0,2881.0,Cream,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,1.0,0.0,1051565000.0
Albania,2896.0,2881.0,Crustaceans,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,2.0,1057040000.0,2103130000.0
Albania,2896.0,2881.0,Dates,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,16.0,19.0,16912640000.0,19979735000.0
Albania,2896.0,2881.0,Demersal Fish,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,2.0,2.0,2114080000.0,2103130000.0
Albania,2896.0,2881.0,Eggs,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,52.0,59.0,54966080000.0,62042335000.0
Albania,2896.0,2881.0,"Fats, Animals, Raw",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,33.0,36.0,34882320000.0,37856340000.0
Albania,2896.0,2881.0,"Fish, Body Oil",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Albania,2896.0,2881.0,"Fish, Liver Oil",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Albania,2896.0,2881.0,Freshwater Fish,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,1.0,1057040000.0,1051565000.0
Albania,2896.0,2881.0,"Fruits, other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,67.0,79.0,70821680000.0,83073635000.0
Albania,2896.0,2881.0,Grapefruit and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Albania,2896.0,2881.0,Grapes and products (excl wine),Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,112.0,106.0,118388480000.0,111465890000.0
Albania,2896.0,2881.0,Groundnut Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,2.0,0.0,2103130000.0
Albania,2896.0,2881.0,Groundnuts,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,2.0,6.0,2114080000.0,6309390000.0
Albania,2896.0,2881.0,Honey,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,8.0,11.0,8456320000.0,11567215000.0
Albania,2896.0,2881.0,Infant food,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,1.0,1057040000.0,1051565000.0
Albania,2896.0,2881.0,"Lemons, Limes and products",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,1.0,1057040000.0,1051565000.0
Albania,2896.0,2881.0,Maize Germ Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,8.0,8.0,8456320000.0,8412520000.0
Albania,2896.0,2881.0,Maize and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,16.0,19.0,16912640000.0,19979735000.0
Albania,2896.0,2881.0,"Marine Fish, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,1.0,1057040000.0,1051565000.0
Albania,2896.0,2881.0,"Meat, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,4.0,0.0,4206260000.0
Albania,2896.0,2881.0,Milk - Excluding Butter,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,573.0,632.0,605683920000.0,664589080000.0
Albania,2896.0,2881.0,Miscellaneous,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,4.0,5.0,4228160000.0,5257825000.0
Albania,2896.0,2881.0,"Molluscs, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Albania,2896.0,2881.0,Mutton & Goat Meat,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,45.0,47.0,47566800000.0,49423555000.0
Albania,2896.0,2881.0,Nuts and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,30.0,34.0,31711200000.0,35753210000.0
Albania,2896.0,2881.0,Oats,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,1.0,0.0,1051565000.0
Albania,2896.0,2881.0,"Offals, Edible",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,14.0,17.0,14798560000.0,17876605000.0
Albania,2896.0,2881.0,"Oilcrops Oil, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,24.0,22.0,25368960000.0,23134430000.0
Albania,2896.0,2881.0,"Oilcrops, Other",Food supply (kcal/capita/day),kcal/capita/day,0.0,0.0,0.0,0.0
